,ST166Q02HA,ST166Q05HA,ST216Q01HA,ST216Q02HA,ST216Q03HA,FL167Q01HA,FL167Q02HA,FL167Q04HA,GRADE,MISCED,FISCED,BMMJ1,BFMJ2,BSMJ,literacy,sisced
76108,6.0,6.0,3.0,2.0,4.0,2.0,1.0,3.0,-1.0,6.0,0.0,43.85,25.95,85.85,503.5956,3.0
76109,4.0,4.0,3.0,2.0,5.0,2.0,2.0,3.0,-2.0,2.0,1.0,16.5,26.85,23.57,484.54560000000004,5.0
76110,1.0,6.0,1.0,1.0,1.0,3.0,3.0,4.0,0.0,4.0,4.0,44.94,65.01,88.31,428.2862,6.0
76114,5.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,0.0,6.0,5.0,44.94,61.82,67.94,508.4674999999999,6.0
76116,6.0,6.0,1.0,1.0,1.0,4.0,4.0,4.0,0.0,2.0,1.0,39.04,43.85,63.03,542.7830000000001,6.0
76122,6.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,0.0,6.0,6.0,82.41,78.69,82.31,672.9262,6.0
76123,5.0,6.0,2.0,1.0,3.0,1.0,1.0,4.0,-1.0,1.0,1.0,20.35,15.35,82.41,462.8746,1.0
76125,4.0,6.0,3.0,3.0,3.0,1.0,1.0,2.0,0.0,6.0,6.0,80.92,70.34,80.92,461.8313999999999,1.0
76130,6.0,6.0,1.0,4.0,3.0,1.0,2.0,3.0,0.0,6.0,2.0,75.54,35.34,70.34,601.1868999999999,6.0
76132,6.0,6.0,2.0,3.0,2.0,3.0,4.0,2.0,0.0,6.0,6.0,68.7,60.29,86.72,624.6700000000001,6.0
76133,6.0,6.0,3.0,2.0,4.0,2.0,2.0,4.0,0.0,4.0,4.0,39.02,27.52,67.94,659.6001,6.0
76135,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,-1.0,6.0,6.0,75.54,16.34,50.9,423.2081999999999,2.0
76136,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,-2.0,6.0,2.0,16.38,16.34,50.9,391.18820000000005,3.0
76142,4.0,6.0,2.0,1.0,2.0,3.0,2.0,3.0,0.0,5.0,6.0,39.02,80.78,85.85,526.9798,6.0
76143,6.0,6.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,6.0,2.0,57.0,61.91,81.4,574.9961999999999,6.0
76144,6.0,6.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,5.0,2.0,17.0,36.92,76.65,604.4504999999999,3.0
76146,4.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,0.0,5.0,1.0,68.88,65.42,29.18,533.0120000000001,6.0
76151,4.0,6.0,3.0,4.0,2.0,1.0,2.0,3.0,0.0,6.0,4.0,65.01,43.85,73.38,591.3302999999999,6.0
76154,4.0,4.0,4.0,4.0,4.0,1.0,2.0,3.0,-1.0,6.0,0.0,17.0,30.78,30.78,470.52250000000004,2.0
76156,4.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,-1.0,2.0,0.0,24.98,40.54,63.03,446.58859999999993,2.0
76159,6.0,6.0,2.0,3.0,1.0,4.0,4.0,4.0,0.0,2.0,5.0,39.04,35.34,29.18,540.9993999999999,6.0
76161,6.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,2.0,1.0,24.53,23.57,85.85,559.2288000000001,3.0
76164,6.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,2.0,2.0,19.66,44.14,86.72,490.26089999999994,6.0
76165,5.0,5.0,2.0,2.0,1.0,3.0,3.0,3.0,0.0,6.0,3.0,75.54,13.35,51.5,569.6008,6.0
76167,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,4.0,0.0,48.27,58.07,79.74,496.3277,4.0
76170,6.0,6.0,3.0,4.0,2.0,3.0,3.0,4.0,0.0,1.0,1.0,16.38,15.35,78.69,616.5706,6.0
76173,6.0,6.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,6.0,6.0,43.33,70.34,85.85,560.1213,6.0
